image_id,body_id,face_id,face_conf,file_name,gender,race,age_deepface,age_mivolo,sharpness,brightness,contrast,usable
0000000000387cfc,0,0,0.67,0000000000387cfc_body0_face0.jpg,Man,white,33.0,29.17,505.56,125.05,42.66,True
0000000002ffffff,0,0,0.86,0000000002ffffff_body0_face0.jpg,Man,black,38.0,29.19,178.54,63.24,23.87,True
0000000007af9fff,0,2,0.73,0000000007af9fff_body0_face2.jpg,Man,asian,34.0,6.18,73.91,108.88,30.83,True
00000000083fffff,1,0,0.77,00000000083fffff_body1_face0.jpg,Man,white,30.0,25.72,59.58,111.72,77.44,True
0000000008fefed6,0,0,0.75,0000000008fefed6_body0_face0.jpg,Man,black,33.0,26.16,724.14,30.88,37.35,True
0000000010ffffff,1,0,0.71,0000000010ffffff_body1_face0.jpg,Woman,asian,33.0,29.83,895.37,112.45,47.61,True
00000000183c7e3e,0,0,0.81,00000000183c7e3e_body0_face0.jpg,Man,black,27.0,27.49,59.81,65.47,39.08,True
0000000018f87f07,0,0,0.78,0000000018f87f07_body0_face0.jpg,Woman,black,30.0,26.35,152.96,75.1,53.99,True
000000001c3e3c1c,0,0,0.85,000000001c3e3c1c_body0_face0.jpg,Man,black,33.0,32.02,162.96,103.06,53.32,True
000000001e3e7f7f,0,0,0.83,000000001e3e7f7f_body0_face0.jpg,Woman,middle eastern,26.0,32.22,308.0,108.33,42.36,True
000000001e3f1e1c,0,0,0.77,000000001e3f1e1c_body0_face0.jpg,Woman,white,34.0,28.35,76.87,63.51,26.83,True
000000001e3f1e1c,1,0,0.77,000000001e3f1e1c_body1_face0.jpg,Man,white,38.0,30.48,98.22,69.76,42.23,True
000000001e3f1e1c,1,1,0.77,000000001e3f1e1c_body1_face1.jpg,Woman,white,35.0,29.0,76.34,63.36,26.05,True
000000002fefffff,0,0,0.61,000000002fefffff_body0_face0.jpg,Man,white,34.0,28.6,450.88,60.37,38.92,True
000000003038f7ff,0,0,0.84,000000003038f7ff_body0_face0.jpg,Man,white,33.0,35.11,63.15,98.16,60.93,True
00000000387e7fff,0,0,0.57,00000000387e7fff_body0_face0.jpg,Man,asian,31.0,26.34,108.86,56.11,57.24,True
00000000387f7fff,0,0,0.79,00000000387f7fff_body0_face0.jpg,Woman,white,30.0,23.43,58.62,101.1,66.61,True
00000000387f7fff,1,0,0.84,00000000387f7fff_body1_face0.jpg,Woman,white,34.0,23.2,179.91,119.22,67.62,True
00000000387f7fff,1,1,0.82,00000000387f7fff_body1_face1.jpg,Man,white,28.0,18.84,115.26,139.44,33.72,True
000000003c7cfcf8,0,0,0.59,000000003c7cfcf8_body0_face0.jpg,Man,black,32.0,33.82,373.34,78.08,52.05,True
000000003efeefef,0,0,0.62,000000003efeefef_body0_face0.jpg,Man,white,37.0,39.44,86.83,83.51,82.65,True
000000004070f8f8,0,0,0.77,000000004070f8f8_body0_face0.jpg,Woman,white,27.0,27.08,57.01,41.01,43.34,True
0000000040e0e0e8,0,0,0.57,0000000040e0e0e8_body0_face0.jpg,Man,white,32.0,34.9,50.68,36.0,18.01,True
000000007cfefe7c,0,0,0.83,000000007cfefe7c_body0_face0.jpg,Man,indian,30.0,22.13,67.24,70.83,44.06,True
000000007e7f7f07,0,0,0.82,000000007e7f7f07_body0_face0.jpg,Man,black,39.0,28.97,278.19,80.96,40.48,True
000000009bbd7fff,0,0,0.78,000000009bbd7fff_body0_face0.jpg,Man,asian,24.0,9.55,226.88,115.66,60.76,True
000000009efbfefc,0,0,0.76,000000009efbfefc_body0_face0.jpg,Man,black,28.0,26.53,102.94,76.48,54.56,True
000000009efbfefc,1,0,0.78,000000009efbfefc_body1_face0.jpg,Woman,black,27.0,26.99,461.09,87.41,58.86,True
00000000a7bfffff,0,0,0.74,00000000a7bfffff_body0_face0.jpg,Woman,white,42.0,26.49,1222.94,74.6,44.12,True
00000000bfff1f1f,0,0,0.83,00000000bfff1f1f_body0_face0.jpg,Man,black,30.0,16.44,450.24,33.8,25.62,True
00000000c3e7efff,0,0,0.85,00000000c3e7efff_body0_face0.jpg,Man,black,37.0,46.68,355.55,83.09,42.45,True
00000000c3ffffff,0,0,0.83,00000000c3ffffff_body0_face0.jpg,Man,white,32.0,23.11,700.31,132.75,56.66,True
00000000e6e7f7ff,0,0,0.83,00000000e6e7f7ff_body0_face0.jpg,Man,black,42.0,44.54,214.33,71.45,26.81,True
00000000efffffff,0,0,0.85,00000000efffffff_body0_face0.jpg,Woman,white,23.0,3.63,102.37,170.51,42.03,True
00000000f3f7f7ff,0,0,0.72,00000000f3f7f7ff_body0_face0.jpg,Woman,white,39.0,29.84,165.44,124.38,63.95,True
00000000f3f7f7ff,1,0,0.72,00000000f3f7f7ff_body1_face0.jpg,Man,white,29.0,29.63,59.11,98.8,60.8,True
00000000fdedffff,0,0,0.66,00000000fdedffff_body0_face0.jpg,Man,black,38.0,31.26,956.05,63.78,48.32,True
00000000fdffffff,0,0,0.73,00000000fdffffff_body0_face0.jpg,Man,white,29.0,30.32,60.04,78.85,53.04,True
00000000fffff9f9,0,0,0.78,00000000fffff9f9_body0_face0.jpg,Man,latino hispanic,46.0,46.18,251.77,149.76,50.4,True
000000013bfcfccc,0,0,0.82,000000013bfcfccc_body0_face0.jpg,Man,white,24.0,21.56,206.39,112.21,52.97,True
000000018bdf3f0f,0,0,0.71,000000018bdf3f0f_body0_face0.jpg,Man,black,31.0,27.4,76.76,56.26,44.24,True
00000001ffffffff,0,0,0.87,00000001ffffffff_body0_face0.jpg,Woman,black,29.0,24.57,299.84,134.57,51.11,True
0000000380e1ff7f,0,0,0.81,0000000380e1ff7f_body0_face0.jpg,Man,black,28.0,23.11,246.26,69.73,35.76,True
00000003e7fffffd,0,0,0.79,00000003e7fffffd_body0_face0.jpg,Man,black,30.0,4.57,62.16,76.04,44.03,True
0000000400e1fbff,0,0,0.76,0000000400e1fbff_body0_face0.jpg,Man,black,42.0,27.7,491.92,54.4,33.43,True
00000004081818ff,0,0,0.72,00000004081818ff_body0_face0.jpg,Woman,white,30.0,25.05,312.67,120.21,56.88,True
000000041e1e7fff,0,0,0.79,000000041e1e7fff_body0_face0.jpg,Man,white,33.0,41.14,51.73,74.15,59.35,True
000000061f0f0e00,0,0,0.79,000000061f0f0e00_body0_face0.jpg,Woman,white,31.0,25.26,205.6,147.36,66.46,True
000000064fffbd7f,0,0,0.58,000000064fffbd7f_body0_face0.jpg,Man,middle eastern,35.0,37.55,91.17,62.65,30.93,True
0000000838f8f8e0,0,0,0.84,0000000838f8f8e0_body0_face0.jpg,Woman,asian,23.0,9.29,115.83,143.35,63.09,True
00000008f0f2fcfe,0,0,0.85,00000008f0f2fcfe_body0_face0.jpg,Woman,black,28.0,24.44,361.58,96.27,46.96,True
